街道方向熵,地理区域
3.308501091,南方地区
2.466214812,南方地区
3.072099622,南方地区
1.684713692,南方地区
2.999112871,南方地区
2.791224025,南方地区
2.895558391,南方地区
2.95049254,南方地区
2.394956522,南方地区
3.106025867,南方地区
3.029175545,南方地区
3.241348288,南方地区
3.331052154,南方地区
3.474141521,南方地区
3.336529398,南方地区
3.474785091,南方地区
3.538469184,南方地区
2.713596521,南方地区
2.472614977,南方地区
3.307898319,南方地区
2.872580324,南方地区
3.285330748,南方地区
3.06212699,南方地区
3.400435811,南方地区
2.839938231,南方地区
3.383880347,南方地区
3.280561401,南方地区
2.929199485,南方地区
2.943051922,南方地区
3.258212306,南方地区
3.235411438,南方地区
3.519531718,南方地区
3.506692964,南方地区
3.303583617,南方地区
3.500469558,南方地区
3.159797974,南方地区
3.5438734,南方地区
3.410577588,南方地区
3.196696304,南方地区
3.358999568,南方地区
3.448331793,南方地区
3.374885566,南方地区
3.4563962,南方地区
3.488775528,南方地区
3.392077716,南方地区
3.372416137,南方地区
3.55739387,南方地区
3.036423192,南方地区
3.348832595,南方地区
3.525324961,南方地区
3.479963383,南方地区
3.49218487,南方地区
3.015881304,南方地区
