Entropy,Area
3.410577588,South
3.196696304,South
3.358999568,South
3.448331793,South
3.374885566,South
3.4563962,South
3.488775528,South
3.392077716,South
3.372416137,South
3.55739387,South
3.036423192,South
3.348832595,South
3.525324961,South
3.479963383,South
3.49218487,South
3.015881304,South
3.393785367,South
3.160529651,South
3.427800894,South
3.163466454,South
3.177255152,South
3.506086153,South
3.152751076,South
2.807033922,South
3.454149206,South
3.407132599,South
2.899870181,South
3.452932106,South
2.547550801,South
3.160380701,South
2.545215026,South
3.243956473,South
2.742146047,South
3.545146271,South
3.441514621,South
2.954494713,South
3.383150074,South
3.260903801,South
3.487460283,South
3.473795436,South
3.293019333,South
3.512473943,South
3.510394673,South
3.365568553,South
3.497075887,South
3.476646618,South
3.520064706,South
2.765429242,Tibet
3.067891354,Tibet
2.924940308,Tibet
3.381892812,Tibet
